output:ms6_aab001 timestep:0.001000 sim_time:200.000000 thermostat_temperature:150.000000 relaxation_time:20.000000 mode:1 lattice_size:4 lattice_spacing:1.500000 cutoff_radius:150.000000 
                time        total_energy      kinetic_energy    potential_energy          temprature
       17.0610000000       19.2584682429       19.2584682429        0.0000000000       90.2740789159
       17.2020000000       19.3479823491       19.3479823491        0.0000000000       90.6936763307
       17.3430000000       19.4368675845       19.4368675845        0.0000000000       91.1103259134
       17.4840000000       19.5251283672       19.5251283672        0.0000000000       91.5240483735
       17.6250000000       19.6127690841       19.6127690841        0.0000000000       91.9348642753
       17.7660000000       19.6997940916       19.6997940916        0.0000000000       92.3427940385
       17.9070000000       19.7862077151       19.7862077151        0.0000000000       92.7478579392
       18.0480000000       19.8720142499       19.8720142499        0.0000000000       93.1500761112
       18.1890000000       19.9572179609       19.9572179609        0.0000000000       93.5494685469
       18.3300000000       20.0418230834       20.0418230834        0.0000000000       93.9460550981
       18.4710000000       20.1258338226       20.1258338226        0.0000000000       94.3398554773
       18.6120000000       20.2092543542       20.2092543542        0.0000000000       94.7308892584
       18.7530000000       20.2920888247       20.2920888247        0.0000000000       95.1191758778
       18.8940000000       20.3743413514       20.3743413514        0.0000000000       95.5047346353
       19.0350000000       20.4560160227       20.4560160227        0.0000000000       95.8875846952
       19.1760000000       20.5371168982       20.5371168982        0.0000000000       96.2677450872
       19.3170000000       20.6176480091       20.6176480091        0.0000000000       96.6452347072
       19.4580000000       20.6976133582       20.6976133582        0.0000000000       97.0200723184
       19.5990000000       20.7770169201       20.7770169201        0.0000000000       97.3922765522
       19.7400000000       20.8558626417       20.8558626417        0.0000000000       97.7618659090
       19.8810000000       20.9341544419       20.9341544419        0.0000000000       98.1288587593
       20.0220000000       21.0118962123       21.0118962123        0.0000000000       98.4932733447
       20.1630000000       21.0890918171       21.0890918171        0.0000000000       98.8551277784
       20.3040000000       21.1657450933       21.1657450933        0.0000000000       99.2144400464
       20.4450000000       21.2418598510       21.2418598510        0.0000000000       99.5712280085
       20.5860000000       21.3174398733       21.3174398733        0.0000000000       99.9255093988
       20.7270000000       21.3924889172       21.3924889172        0.0000000000      100.2773018270
       20.8680000000       21.4670107128       21.4670107128        0.0000000000      100.6266227790
       21.0090000000       21.5410089644       21.5410089644        0.0000000000      100.9734896178
       21.1500000000       21.6144873499       21.6144873499        0.0000000000      101.3179195846
       21.2910000000       21.6874495218       21.6874495218        0.0000000000      101.6599297992
       21.4320000000       21.7598991065       21.7598991065        0.0000000000      101.9995372615
       21.5730000000       21.8318397051       21.8318397051        0.0000000000      102.3367588515
       21.7140000000       21.9032748936       21.9032748936        0.0000000000      102.6716113311
       21.8550000000       21.9742082226       21.9742082226        0.0000000000      103.0041113440
       21.9960000000       22.0446432179       22.0446432179        0.0000000000      103.3342754173
       22.1370000000       22.1145833804       22.1145833804        0.0000000000      103.6621199618
       22.2780000000       22.1840321865       22.1840321865        0.0000000000      103.9876612732
       22.4190000000       22.2529930883       22.2529930883        0.0000000000      104.3109155325
       22.5600000000       22.3214695134       22.3214695134        0.0000000000      104.6318988071
       22.7010000000       22.3894648654       22.3894648654        0.0000000000      104.9506270515
