
                time        total_energy      kinetic_energy    potential_energy          temprature
       17.8190460000     -483.4023275143     2715.6974921540    -3032.0599593191     -483.4023275143
       17.9604670000     -120.1415272949     3083.5753853410    -3027.6164560747     -120.1415272949
       18.1018880000      196.6145224909     3339.2131833668    -3028.4645305260      196.6145224909
       18.2433090000      368.4942024841     3426.3065410825    -3029.6030212910      368.4942024841
       18.3847300000      396.6520847276     3425.6339129218    -3026.5620006207      396.6520847276
       18.5261510000      385.9039347305     3392.4139819236    -3028.3120910178      385.9039347305
       18.6675720000      318.5701964268     3286.6520780651    -3027.4930719384      318.5701964268
       18.8089930000      162.0460799811     3073.3712286380    -3014.9041026970      162.0460799811
       18.9504140000      -69.1224276638     2818.3316543218    -3018.0895024776      -69.1224276638
       19.0918350000     -290.4817422565     2674.1643172833    -3020.4975570835     -290.4817422565
       19.2332560000     -326.1071217198     2766.7733292072    -3036.8731744054     -326.1071217198
       19.3746770000     -164.0570525213     2974.2741064812    -3039.1679051691     -164.0570525213
       19.5160980000      -22.0577235491     3013.6668213778    -3039.7913205364      -22.0577235491
       19.6575190000     -132.5020250446     2759.9640577554    -3028.4678387080     -132.5020250446
       19.7989400000     -459.5972478336     2359.2531739241    -3021.5190432337     -459.5972478336
       19.9403610000     -855.5996354754     2002.3385883793    -3018.0299795679     -855.5996354754
       20.0817820000    -1084.2861815461     1921.9516217961    -3017.3030056832    -1084.2861815461
       20.2232030000     -999.2300068361     2155.3284590769    -3019.7590453204     -999.2300068361
       20.3646240000     -692.9889582597     2505.2694756947    -3028.3512830597     -692.9889582597
       20.5060450000     -395.4569610265     2722.7451770547    -3030.7324954097     -395.4569610265
       20.6474660000     -310.0396111415     2672.3317716894    -3030.4188064223     -310.0396111415
       20.7888870000     -485.9028811700     2390.9579106446    -3027.7477931463     -485.9028811700
       20.9303080000     -801.4067281981     2079.3161340571    -3024.7258606089     -801.4067281981
       21.0717290000    -1017.1926245630     1984.9383592984    -3023.8673666177    -1017.1926245630
       21.2131500000     -969.7147356649     2155.1913624491    -3025.6921319361     -969.7147356649
       21.3545710000     -747.3908162373     2392.7593108199    -3028.2316533540     -747.3908162373
       21.4959920000     -565.3206801093     2504.4042278728    -3029.5237817499     -565.3206801093
       21.6374130000     -542.1472422566     2445.0925992925    -3029.0903323340     -542.1472422566
       21.7788340000     -665.9884580568     2268.2535308464    -3027.4532678465     -665.9884580568
       21.9202550000     -867.8790940414     2049.6774848951    -3025.3704603609     -867.8790940414
       22.0616760000    -1080.5489050516     1845.1944287201    -3023.4063555211    -1080.5489050516
       22.2030970000    -1264.9861048151     1678.6838924725    -3021.8064573987    -1264.9861048151
       22.3445180000    -1407.8342021317     1557.3559691817    -3020.6480929260    -1407.8342021317
       22.4859390000    -1501.5833600068     1490.9587546681    -3020.0344607259    -1501.5833600068
       22.6273600000    -1535.0138708266     1490.3836809536    -3020.0820404557    -1535.0138708266
       22.7687810000    -1474.6652208744     1621.9409833114    -3008.1790788636    -1474.6652208744
       22.9102020000    -1266.1344075471     1873.5679382819    -3014.8065117546    -1266.1344075471
       23.0516230000    -1020.8142779587     2100.7902306815    -3017.2144205243    -1020.8142779587
       23.1930440000     -859.1444812740     2200.5980998750    -3030.0066563079     -859.1444812740
       23.3344650000     -826.7829701276     2192.8522489907    -3013.9409623528     -826.7829701276
       23.4758860000     -825.4168272588     2198.6264546443    -3018.0688552673     -825.4168272588
       23.6173070000     -786.7060564155     2275.7667631212    -3018.9770890922     -786.7060564155
       23.7587280000     -703.4967919010     2335.3657526238    -3019.7258609856     -703.4967919010
       23.9001490000     -733.4398668789     2197.4444485875    -3018.4821044405     -733.4398668789
       24.0415700000     -974.2190985468     1875.6261847482    -3015.3488518045     -974.2190985468
       24.1829910000    -1296.2237478528     1582.9368883771    -3008.9883497186    -1296.2237478528
       24.3244120000    -1495.4835523350     1477.7697401291    -3007.9754616467    -1495.4835523350
       24.4658330000    -1510.9209942287     1528.7047263295    -3004.8957800430    -1510.9209942287
       24.6072540000    -1418.9954476852     1650.6289971219    -3006.1922234956    -1418.9954476852
       24.7486750000    -1280.4972996566     1803.2337481717    -3005.9108745066    -1280.4972996566
       24.8900960000    -1127.2112089151     1947.6825970937    -3007.4687480518    -1127.2112089151
       25.0315170000    -1012.5032478423     2028.8324418726    -3007.1871534585    -1012.5032478423
